Thu Nov 12 17:33:16 2020,1605173596801
经过毫秒数,总线电压1,分压电压1,功率1,电流1,总线电压2,分压电压2,功率2,电流2
53,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
210,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
367,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
528,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
680,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
833,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
999,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
1150,0.004,-1e-05,0.0,-0.1,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
1307,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
