Thu Nov 12 17:30:59 2020,1605173459914
经过毫秒数,总线电压1,分压电压1,功率1,电流1,总线电压2,分压电压2,功率2,电流2
54,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
210,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
371,0.004,-1e-05,0.0,-0.1,0.0,-2e-05,0.0,-0.2
530,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
682,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
837,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
993,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
1206,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.2
1364,0.004,-1e-05,0.0,-0.1,0.0,-2e-05,0.0,-0.2
1527,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
1694,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
