Thu Nov 12 17:30:54 2020,1605173454980
经过毫秒数,总线电压1,分压电压1,功率1,电流1,总线电压2,分压电压2,功率2,电流2
57,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
214,0.004,-1e-05,0.0,-0.1,0.0,-2e-05,0.0,-0.2
373,0.004,-1e-05,0.0,-0.1,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
531,0.004,-1e-05,0.0,-0.1,0.0,-2e-05,0.0,-0.2
701,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
852,0.004,-1e-05,0.0,-0.1,0.0,-2e-05,0.0,-0.2
1023,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
1177,0.004,-1e-05,0.0,-0.1,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
1332,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
