Thu Nov 12 17:31:40 2020,1605173500804
经过毫秒数,总线电压1,分压电压1,功率1,电流1,总线电压2,分压电压2,功率2,电流2
55,0.004,-1e-05,0.0,-0.1,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
210,0.004,-1e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.30000000000000004
378,0.004,-1e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.2
543,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.2
703,0.004,-1e-05,0.0,-0.1,0.0,-2e-05,0.0,-0.2
857,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
1017,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.30000000000000004
1169,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
1329,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
1478,0.004,-1e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
1639,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
1792,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
1955,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
